,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
3919,"Marquise Goodwin (WR, CLE)",ARI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0,Marquise Goodwin,WR, cle,9
3920,"Robert Woods (WR, HOU)",TB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Robert Woods,WR, hou,9
3921,"Geno Smith (QB, SEA)",@BAL,3.68,3.68,3.68,13/28,46.4%,157,0,1,2,4,2.0,0,0,0,0,0.0,0,0,1,Geno Smith,QB, sea,9
3922,"DeAndre Hopkins (WR, TEN)",@PIT,10.5,8.5,6.5,0/0,0%,0,0,0,1,5,5.0,0,4,11,60,15.0,0,0,0,DeAndre Hopkins,WR, ten,9
3923,"Travis Kelce (TE, KC)",MIA,4.4,2.9,1.4,0/0,0%,0,0,0,0,0,0.0,0,3,4,14,4.7,0,0,0,Travis Kelce,TE, kc,9
3924,"Latavius Murray (RB, BUF)",@CIN,2.0,1.5,1.0,0/0,0%,0,0,0,2,4,2.0,0,1,1,6,6.0,0,0,0,Latavius Murray,RB, buf,9
3925,"Keenan Allen (WR, LAC)",@NYJ,15.7,11.7,7.7,0/0,0%,0,0,0,0,0,0.0,0,8,9,77,9.6,0,0,0,Keenan Allen,WR, lac,9
3926,"Cordarrelle Patterson (RB, ATL)",MIN,1.3,0.8,0.3,0/0,0%,0,0,0,1,0,0.0,0,1,1,3,3.0,0,0,0,Cordarrelle Patterson,RB, atl,9
3927,"Adam Thielen (WR, CAR)",IND,7.9,5.4,2.9,0/0,0%,0,0,0,0,0,0.0,0,5,6,29,5.8,0,0,0,Adam Thielen,WR, car,9
3928,"Case Keenum (QB, HOU)",TB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Case Keenum,QB, hou,9
3929,"Jimmy Garoppolo (QB, LV)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jimmy Garoppolo,QB, lv,9
3930,"Allen Robinson II (WR, PIT)",TEN,2.0,1.5,1.0,0/0,0%,0,0,0,0,0,0.0,0,1,2,10,10.0,0,0,0,Allen Robinson II,WR, pit,9
3931,"Derek Carr (QB, NO)",CHI,16.74,20.74,20.74,25/34,73.5%,211,2,0,3,3,1.0,0,0,0,0,0.0,0,0,0,Derek Carr,QB, no,9
3932,"Keith Smith (RB, ATL)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Keith Smith,RB, atl,9
3933,"Odell Beckham Jr. (WR, BAL)",SEA,14.6,12.1,9.6,0/0,0%,0,0,0,0,0,0.0,0,5,7,56,11.2,1,0,1,Odell Beckham Jr.,WR, bal,9
